"","subjectID","session","con","condition","control","xyz","roi","process","meanPE","sdPE","map","test","mask","dotProduct"
"82","RRV001","1","con_0007.nii","dessert","rest","32_-59_41","right IPS","cognitive_control",0.662715,0.216671,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1022.7
"83","RRV001","1","con_0007.nii","dessert","rest","-32_-58_46","left IPS","cognitive_control",1.69258,0.609638,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1022.7
"84","RRV001","1","con_0007.nii","dessert","rest","-6_49_1","left vmPFC","value",0.665925,0.380594,"value_association-test_z_FDR_0.01","association","unmasked",1513.71
"85","RRV001","2","con_0008.nii","dessert","rest","9_3_-6","right VS","reward",0.598472,0.448832,"reward_association-test_z_FDR_0.01","association","unmasked",-812.68
"86","RRV001","2","con_0008.nii","dessert","rest","-9_3_-6","left VS","reward",-0.0626092,0.362962,"reward_association-test_z_FDR_0.01","association","unmasked",-812.68
"87","RRV001","2","con_0008.nii","dessert","rest","-30_33_-18","left lOFC","reward",0.148656,0.193523,"reward_association-test_z_FDR_0.01","association","unmasked",-812.68
"88","RRV001","2","con_0008.nii","dessert","rest","46_28_31","right dlPFC","cognitive_control",-0.709533,0.615531,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",481.085
"89","RRV001","2","con_0008.nii","dessert","rest","-44_27_33","left dlPFC","cognitive_control",0.226548,0.795815,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",481.085
"90","RRV001","2","con_0008.nii","dessert","rest","44_8_34","right MFG","cognitive_control",-0.248688,0.319685,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",481.085
"91","RRV001","2","con_0008.nii","dessert","rest","-42_7_36","left MFG","cognitive_control",1.05981,0.766204,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",481.085
"92","RRV001","2","con_0008.nii","dessert","rest","54_-44_43","right IPL","cognitive_control",0.370256,0.503108,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",481.085
"93","RRV001","2","con_0008.nii","dessert","rest","-53_-50_39","left IPL","cognitive_control",0.342546,0.539535,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",481.085
"94","RRV001","2","con_0008.nii","dessert","rest","32_-59_41","right IPS","cognitive_control",0.0490565,0.287708,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",481.085
"95","RRV001","2","con_0008.nii","dessert","rest","-32_-58_46","left IPS","cognitive_control",1.44417,0.680514,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",481.085
"96","RRV001","2","con_0008.nii","dessert","rest","-6_49_1","left vmPFC","value",-1.36803,0.296439,"value_association-test_z_FDR_0.01","association","unmasked",-635.411
"97","RRV001","all","con_0009.nii","dessert","rest","9_3_-6","right VS","reward",1.07843,0.660095,"reward_association-test_z_FDR_0.01","association","unmasked",7529.55
"98","RRV001","all","con_0009.nii","dessert","rest","-9_3_-6","left VS","reward",0.543253,0.394733,"reward_association-test_z_FDR_0.01","association","unmasked",7529.55
"99","RRV001","all","con_0009.nii","dessert","rest","-30_33_-18","left lOFC","reward",0.76176,0.376848,"reward_association-test_z_FDR_0.01","association","unmasked",7529.55
"100","RRV001","all","con_0009.nii","dessert","rest","46_28_31","right dlPFC","cognitive_control",-1.00338,1.13583,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1503.78
