"","subjectID","session","con","condition","control","xyz","roi","process","meanPE","sdPE","map","test","mask","dotProduct"
"102","RRV001","all","con_0009.nii","dessert","rest","44_8_34","right MFG","cognitive_control",0.353381,0.696145,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",45405.8
"103","RRV001","all","con_0009.nii","dessert","rest","-42_7_36","left MFG","cognitive_control",2.7693,1.73742,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",45405.8
"104","RRV001","all","con_0009.nii","dessert","rest","54_-44_43","right IPL","cognitive_control",1.19727,0.980471,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",45405.8
"105","RRV001","all","con_0009.nii","dessert","rest","-53_-50_39","left IPL","cognitive_control",0.878753,1.01687,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",45405.8
"106","RRV001","all","con_0009.nii","dessert","rest","32_-59_41","right IPS","cognitive_control",0.711772,0.401292,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",45405.8
"107","RRV001","all","con_0009.nii","dessert","rest","-32_-58_46","left IPS","cognitive_control",3.13674,1.2744,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",45405.8
"108","RRV001","all","con_0009.nii","dessert","rest","-6_49_1","left vmPFC","value",-0.702103,0.424677,"value_uniformity-test_z_FDR_0.01","uniformity","unmasked",20993.8
"109","RRV001","1","con_0010.nii","nature","rest","9_3_-6","right VS","reward",-0.0419782,0.342611,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",22920.3
"110","RRV001","1","con_0010.nii","nature","rest","-9_3_-6","left VS","reward",0.570307,0.552311,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",22920.3
"111","RRV001","1","con_0010.nii","nature","rest","-30_33_-18","left lOFC","reward",0.244963,0.313391,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",22920.3
"112","RRV001","1","con_0010.nii","nature","rest","46_28_31","right dlPFC","cognitive_control",-0.0680897,0.24051,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",22372.8
"113","RRV001","1","con_0010.nii","nature","rest","-44_27_33","left dlPFC","cognitive_control",0.226076,0.373064,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",22372.8
"114","RRV001","1","con_0010.nii","nature","rest","44_8_34","right MFG","cognitive_control",0.618694,0.385851,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",22372.8
"115","RRV001","1","con_0010.nii","nature","rest","-42_7_36","left MFG","cognitive_control",1.28186,0.654901,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",22372.8
"116","RRV001","1","con_0010.nii","nature","rest","54_-44_43","right IPL","cognitive_control",-0.194509,0.145577,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",22372.8
"117","RRV001","1","con_0010.nii","nature","rest","-53_-50_39","left IPL","cognitive_control",0.256018,0.170885,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",22372.8
"118","RRV001","1","con_0010.nii","nature","rest","32_-59_41","right IPS","cognitive_control",0.388466,0.191978,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",22372.8
"119","RRV001","1","con_0010.nii","nature","rest","-32_-58_46","left IPS","cognitive_control",0.988318,0.513843,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",22372.8
"120","RRV001","1","con_0010.nii","nature","rest","-6_49_1","left vmPFC","value",-0.08099,0.245064,"value_uniformity-test_z_FDR_0.01","uniformity","unmasked",12681.6
"121","RRV001","2","con_0011.nii","nature","rest","9_3_-6","right VS","reward",-0.0749084,0.289952,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",5635.1
"122","RRV001","2","con_0011.nii","nature","rest","-9_3_-6","left VS","reward",-0.00968233,0.303211,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",5635.1
"123","RRV001","2","con_0011.nii","nature","rest","-30_33_-18","left lOFC","reward",0.242059,0.192091,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",5635.1
"124","RRV001","2","con_0011.nii","nature","rest","46_28_31","right dlPFC","cognitive_control",-0.599399,0.566294,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",8333.8
"125","RRV001","2","con_0011.nii","nature","rest","-44_27_33","left dlPFC","cognitive_control",0.228693,0.30563,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",8333.8
"126","RRV001","2","con_0011.nii","nature","rest","44_8_34","right MFG","cognitive_control",-0.308705,0.342765,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",8333.8
"127","RRV001","2","con_0011.nii","nature","rest","-42_7_36","left MFG","cognitive_control",0.555691,0.541265,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",8333.8
"128","RRV001","2","con_0011.nii","nature","rest","54_-44_43","right IPL","cognitive_control",-0.0376545,0.283422,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",8333.8
"129","RRV001","2","con_0011.nii","nature","rest","-53_-50_39","left IPL","cognitive_control",0.249126,0.213635,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",8333.8
"130","RRV001","2","con_0011.nii","nature","rest","32_-59_41","right IPS","cognitive_control",0.394778,0.25108,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",8333.8
